index,Наименование параметра,СНВШ
0,Основные параметры станка,
1,"Наибольший диаметр сверления, мм",12
2,Наименьшее и наибольшее расстояние от торца шпинделя до стола,20..420
3,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",160
4,Рабочий стол,
5,"Ширина рабочей поверхности стола, мм",250 х 250
6,Число Т-образных пазов,3
7,Шпиндель,
8,"Наибольшее перемещение шпиндельной головки, мм",
9,"Ход гильзы шпинделя, мм",100
10,"Частота вращения шпинделя, об/мин","720, 1400, 2000"
11,Количество скоростей шпинделя,3
12,Конус шпинделя,Морзе В18
13,Привод,
14,"Электродвигатель привода главного движения, кВт",06
15,Габарит и масса станка,
16,"Габариты станка (длина ширина высота), мм",660 х 360 х 750
17,"Масса станка, кг",85
